Season,Transfer sum
14/15,166.72
15/16,51
16/17,124.75
17/18,413.1
18/19,141.1
19/20,304
20/21,111.94
21/22,69.5
22/23,159
23/24,33.4
24/25,60.5
25/26,27.5
